model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,train_f1_mean,f1_generalization_gap,elapsed_seconds
Random Forest,0.8939454424484363,0.007280490614050565,0.8973862350309251,0.018134838034938403,0.8726302729528536,0.018533291135886084,0.8845304567927519,0.00787608182966237,0.9537722130523697,0.004373419483013454,0.9971053274508863,0.11257487065813443,4.184515476226807
Gradient Boosting,0.8364298430166693,0.008147502932959804,0.8026340161384862,0.011274979699324547,0.861100082712986,0.0342317422961952,0.8302829310954376,0.012176319765242935,0.9207819488448401,0.010420599491934609,0.8949935540986707,0.06471062300323305,1.7736279964447021
Logistic Regression,0.725579471687256,0.005777543534654196,0.673332797025228,0.012103066361629873,0.7992638544251448,0.02529712005997085,0.7305026556335722,0.005667330306288175,0.8125926880235532,0.010652190323873526,0.7370622319757351,0.006559576342162865,0.733818769454956
